"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 02 01:49:27 GMT 2024","Tue Jul 02 01:49:27 GMT 2024","240","Report Automation API","Test Automation Negative case","apiauto.negativeCase","apiauto.negativeCase","testPatchUserWithInvalidData","testPatchUserWithInvalidData",""
"passed","Tue Jul 02 01:49:27 GMT 2024","Tue Jul 02 01:49:28 GMT 2024","243","Report Automation API","Test Automation Negative case","apiauto.negativeCase","apiauto.negativeCase","testPutUserWithInvalidPayload","testPutUserWithInvalidPayload",""
"passed","Tue Jul 02 01:49:25 GMT 2024","Tue Jul 02 01:49:25 GMT 2024","254","Report Automation API","Test Automation Positive case","apiauto.positiveCase","apiauto.positiveCase","testDeleteUser","testDeleteUser",""
"passed","Tue Jul 02 01:49:26 GMT 2024","Tue Jul 02 01:49:26 GMT 2024","366","Report Automation API","Test Automation Positive case","apiauto.positiveCase","apiauto.positiveCase","testPutUser","testPutUser",""
"passed","Tue Jul 02 01:49:25 GMT 2024","Tue Jul 02 01:49:25 GMT 2024","107","Report Automation API","Test Automation Positive case","apiauto.positiveCase","apiauto.positiveCase","testGetListUsers","testGetListUsers",""
"passed","Tue Jul 02 01:49:22 GMT 2024","Tue Jul 02 01:49:25 GMT 2024","2603","Report Automation API","Test Automation Positive case","apiauto.positiveCase","apiauto.positiveCase","testCreateUser","testCreateUser",""
"passed","Tue Jul 02 01:49:27 GMT 2024","Tue Jul 02 01:49:27 GMT 2024","262","Report Automation API","Test Automation Negative case","apiauto.negativeCase","apiauto.negativeCase","testPutUserWithInvalidData","testPutUserWithInvalidData",""
"passed","Tue Jul 02 01:49:25 GMT 2024","Tue Jul 02 01:49:26 GMT 2024","966","Report Automation API","Test Automation Positive case","apiauto.positiveCase","apiauto.positiveCase","testPatchUser","testPatchUser",""
"passed","Tue Jul 02 01:49:26 GMT 2024","Tue Jul 02 01:49:27 GMT 2024","464","Report Automation API","Test Automation Negative case","apiauto.negativeCase","apiauto.negativeCase","testCreateUserWithInvalidPayload","testCreateUserWithInvalidPayload",""
